Name,Price,URL,Image URL
Asus ASUS Vivobook Go 15 E1504FA-NJ005W - AMD Ryzen 5 7520U Processor 2.8GHz - 8GB - 512 SSD - 15.6 Inch - Windows 11,"EGP 19,599.00",https://www.jumia.com.eg/asus-asus-vivobook-go-15-e1504fa-nj005w-amd-ryzen-5-7520u-processor-2.8ghz-8gb-512-ssd-15.6-inch-windows-11-132388678.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/6883231/1.jpg?7599
DELL Inspiron 3520 Laptop Core I3 1215U 8GB RAM 512GB SSD Intel UHD Graphics 15.6 FHD DOS,"EGP 15,777.00",https://www.jumia.com.eg/dell-inspiron-3520-laptop-core-i3-1215u-8gb-ram-512gb-ssd-intel-uhd-graphics-15.6-fhd-dos-132354043.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/0453231/1.jpg?0863
"DELL Vostro 3520 Intel® Core™ i3-1215U , 8GB RAM , 512GB SSD , intel UHD , 15.6""FHD - Black","EGP 17,260.00",https://www.jumia.com.eg/dell-vostro-3520-intelr-coretm-i3-1215u-8gb-ram-512gb-ssd-intel-uhd-15.6fhd-black-124454455.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/4454421/1.jpg?6103
"Acer Aspire 3 A315-59-31LZ (12th Gen Intel® Core™ i3-1215U - Ram 8GB - 512GB SSD - Intel UHD Graphics - 15.6"" FHD Comfy View- DOS -Silver)","EGP 17,499.00",https://www.jumia.com.eg/acer-aspire-3-a315-59-31lz-12th-gen-intelr-coretm-i3-1215u-ram-8gb-512gb-ssd-intel-uhd-graphics-15.6-fhd-comfy-view-dos-silver-130148460.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/4841031/1.jpg?0805
"Lenovo IdeaPad 1 15IAU7 Laptop Intel® Core™ I3-1215U, 8GB Ram, 256GB SSD, Integrated Intel® UHD, 15.6"" HD, 82QD00HHED -","EGP 17,360.00",https://www.jumia.com.eg/lenovo-ideapad-1-15iau7-laptop-intelr-coretm-i3-1215u-8gb-ram-256gb-ssd-integrated-intelr-uhd-15.6-hd-82qd00hhed-132998249.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/2899231/1.jpg?0891
"HP Elite Book 845 G7, Ryzen 5 Pro 4650U, 14"" Inch, 16GB Ram, 256GB SSD, Integrated AMD Radeon Vega 8 Graphics (2GB), Windows 11 - Silver","EGP 14,000.00",https://www.jumia.com.eg/hp-elite-book-845-g7-ryzen-5-pro-4650u-14-inch-16gb-ram-256gb-ssd-integrated-amd-radeon-vega-8-graphics-2gb-windows-11-silver-133517540.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/5715331/1.jpg?3670
"HP Elite Book 845 G7, AMD Ryzen 5 Pro 4650U, 14"" Inch, 16GB Ram, 256GB SSD, AMD Radeon Vega 8 Graphics (2GB), Windows 11 - Silver + Bag","EGP 11,350.00",https://www.jumia.com.eg/hp-elite-book-845-g7-amd-ryzen-5-pro-4650u-14-inch-16gb-ram-256gb-ssd-amd-radeon-vega-8-graphics-2gb-windows-11-silver-bag-133517541.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/5715331/1.jpg?3627
Lenovo Laptop N100  - 4G - 128Gb -Uhd - 11.5 Inch 2K -Abyss Blue 82Xk0032Ed,"EGP 21,130.00",https://www.jumia.com.eg/lenovo-laptop-n100-4g-128gb-uhd-11.5-inch-2k-abyss-blue-82xk0032ed-108595294.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/2595801/1.jpg?5287
"Asus Vivobook Go 15 - 15"" FHD - AMD Ryzen 3 7320U Processor 2.4GHz - 4GB/256GB SSD - AMD Radeon Graphics - FreeDOS - Green Grey","EGP 11,149.00",https://www.jumia.com.eg/asus-vivobook-go-15-15-fhd-amd-ryzen-3-7320u-processor-2.4ghz-4gb256gb-ssd-amd-radeon-graphics-freedos-green-grey-121244472.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/4442121/1.jpg?0236
"HP FC0034NE 15"" Laptop – AMD Ryzen 7, 16GB RAM, 512GB SSD, FHD, Radeon Graphics, Win 11 – Silver","EGP 28,699.00",https://www.jumia.com.eg/hp-fc0034ne-15-laptop-amd-ryzen-7-16gb-ram-512gb-ssd-fhd-radeon-graphics-win-11-silver-130835813.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/8538031/1.jpg?6604
